value;value_err;distance_px;distance_pc
240.0401;90.6996;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.40175425;1.354291708
150;-10;11.70469991;1.390275363
123.7422;63.1438;12;1.425350884
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;12.64911064;1.502451752
150;-10;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
150;-10;12.52996409;1.488299615
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;12.52996409;1.488299615
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.80624847;1.521116465
150;-10;12.72792206;1.511812913
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
148.6428;88.2565;12.72792206;1.511812913
150;-10;12.80624847;1.521116465
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.52996409;1.488299615
150;-10;12.52996409;1.488299615
150;-10;13;1.544130124
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;13;1.544130124
150;-10;12.64911064;1.502451752
150;-10;12.64911064;1.502451752
150;-10;12.36931688;1.469218062
150;-10;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
150;-10;12.16552506;1.445011825
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.36931688;1.469218062
226;-1;12.64911064;1.502451752
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
103.5003;-1;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;13;1.544130124
227.7309;62.4628;12.52996409;1.488299615
150;-10;12.52996409;1.488299615
250.6487;68.7703;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
368.7462;79.6816;12.80624847;1.521116465
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.80624847;1.521116465
150;-10;12.72792206;1.511812913
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.72792206;1.511812913
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.80624847;1.521116465
342.297;-1;12.52996409;1.488299615
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;12.52996409;1.488299615
150;-10;13;1.544130124
101.691;97.6105;12.64911064;1.502451752
81.0979;71.8555;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
109.4474;62.1857;12.04159458;1.430291456
212.5711;77.8304;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;14;1.662909364
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
150;-10;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.89244399;1.650133943
150;-10;13.60147051;1.615572334
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.60147051;1.615572334
150;-10;13.45362405;1.598011244
172.7115;100.6847;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
188;-1;13.45362405;1.598011244
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.89244399;1.650133943
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.92838828;1.654403378
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.34166406;1.584712722
150;-10;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;14;1.662909364
150;-10;14;1.662909364
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;13.92838828;1.654403378
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
315.2892;-1;13.89244399;1.650133943
206.7924;61.5102;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.89244399;1.650133943
259.7889;62.7051;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.60147051;1.615572334
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.60147051;1.615572334
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.89244399;1.650133943
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
115.5587;72.9286;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;14;1.662909364
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;14.14213562;1.679792126
150;-10;14.31782106;1.700659909
150;-10;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.76482306;1.753754466
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
315.0652;135.8756;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
438.8503;259.4207;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.14213562;1.679792126
314.8123;138.6852;14.14213562;1.679792126
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604
150;-10;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;14.76482306;1.753754466
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;15;1.781688604
150;-10;15;1.781688604
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
